angle counts sqrt(counts)
3.04 359623 599.686
3.36 485028 696.439
3.68 265703 515.464
4 278276 527.519
4.32 189812 435.674
4.64 258889 508.811
4.96 92491.3 304.124
5.28 160048 400.06
5.6 96612.8 310.826
5.92 92176.5 303.606
6.24 44977.6 212.079
6.56 90414.4 300.69
6.88 44401.8 210.717
7.2 49620.8 222.757
7.52 39719.6 199.298
7.84 20213.5 142.174
11.36 14966.6 122.338
11.68 15850.2 125.897
12.32 12676.6 112.59
12.96 9552.72 97.738
13.28 8648.73 92.9986
13.92 7012.47 83.7405
14.24 7126.59 84.4191
14.88 6028.78 77.6452
15.2 7036.59 83.8844
15.84 6195.22 78.7097
16.48 5038.59 70.9831
16.8 5733.43 75.7194
17.44 4948.88 70.3483
17.76 4670.49 68.341
18.4 5126.41 71.599
18.72 4349.92 65.954
19.36 3785.21 61.524
19.68 4052.06 63.6558
20.32 3351.11 57.8888
20.64 3366.35 58.0203
21.28 3341.91 57.8093
21.6 3385.39 58.1841
22.24 2871.4 53.5855
22.56 2903.75 53.8864
23.2 2625.87 51.2433
23.52 2189.02 46.787
23.84 2277.18 47.7198
24.48 1623.49 40.2925
