angle counts sqrt(counts)
0.16 79774.4 282.444
0.48 76734.5 277.01
0.8 80492.4 283.712
1.12 77837.3 278.993
1.44 73899.4 271.844
1.76 72110.6 268.534
2.08 69387.8 263.416
2.4 66521.9 257.918
2.72 66436.9 257.754
3.04 68782.8 262.265
3.36 77118.5 277.702
3.68 84303.9 290.351
4 93701.8 306.107
4.32 103383 321.533
4.64 110765 332.814
4.96 114017 337.663
5.28 118870 344.776
5.6 119683 345.953
5.92 119531 345.732
6.24 114053 337.717
6.56 107441 327.782
6.88 102220 319.719
7.2 96328.3 310.368
7.52 92274.2 303.767
7.84 84154.2 290.093
8.16 78936.1 280.956
8.48 73844 271.743
8.8 69644.3 263.902
9.12 67229.7 259.287
9.44 65646.4 256.216
9.76 64562.8 254.092
10.08 64534 254.035
10.4 65712.4 256.344
10.72 67258.3 259.342
11.04 66012.7 256.929
11.36 64019.4 253.021
11.68 58020.4 240.874
12 51257.8 226.402
12.32 42106.4 205.198
12.64 34604.2 186.022
12.96 28124.7 167.704
13.28 23642.6 153.761
13.6 20904.2 144.583
13.92 18695 136.73
14.24 16597.9 128.833
14.56 14494.3 120.392
14.88 13133.2 114.6
15.2 11727.6 108.294
15.52 10733.7 103.603
15.84 9702.4 98.5007
16.16 8967.87 94.6988
16.48 8178.65 90.4359
16.8 7403.37 86.0428
17.12 6734.53 82.0642
17.44 6476.37 80.4759
17.76 6030.92 77.659
18.08 5633.12 75.0541
18.4 5168.17 71.89
18.72 4917.95 70.1281
19.04 4529 67.2978
19.36 4116.42 64.1593
19.68 3654.58 60.4531
20 3528.34 59.3999
20.32 2881.03 53.6752
20.64 2720.66 52.1599
20.96 2227.14 47.1926
21.28 1939.18 44.0361
21.6 1690.63 41.1173
21.92 1537.35 39.2091
22.24 1219.4 34.9199
22.56 1010.3 31.7852
22.88 873.586 29.5565
23.2 732.86 27.0714
23.52 609.546 24.689
23.84 491.846 22.1776
24.16 421.034 20.5191
24.48 383.317 19.5785
24.8 321.519 17.931
25.12 282.386 16.8043
25.44 230.23 15.1733
25.76 182.739 13.5181
26.08 203.374 14.2609
26.4 157.271 12.5408
26.72 122.197 11.0543
27.04 103.279 10.1626
27.36 78.2523 8.84603
27.68 87.0951 9.33248
28 76.6035 8.75234
28.32 51.5918 7.18275
28.64 47.9371 6.92366
28.96 33.0105 5.74547
29.28 33.7024 5.80538
29.6 26.292 5.12757
29.92 30.042 5.48106
30.24 36.6962 6.05774
30.56 18.6655 4.32036
30.88 17.5177 4.18541
31.2 13.499 3.6741
31.52 7.64334 2.76466
31.84 7.57448 2.75218
32.16 7.50708 2.7399
32.48 4.65068 2.15654
32.8 4.61031 2.14716
33.12 2.74246 1.65604
33.44 2.71922 1.64901
33.76 1.79764 1.34076
34.08 1.78277 1.33521
34.4 0.884102 0.940267
34.72 0.876962 0.936463
35.04 1.73993 1.31906
35.68 0.856377 0.925406
