itele	ipie	icsi
0	0	0
0	1	0
0	2	1
0	3	1
0	4	1
0	5	1
0	6	2
0	7	2
0	8	2
0	9	2
0	10	3
0	11	3
0	12	3
0	13	3
0	14	4
0	15	4
0	16	4
0	17	4
0	18	5
0	19	5
0	20	5
0	21	5
0	22	6
0	23	6
0	24	6
0	25	6
0	26	7
0	27	7
0	28	7
0	29	7
0	30	8
0	31	8
0	32	8
0	33	8
0	34	9
0	35	9
0	36	9
0	37	9
0	38	10
0	39	10
0	40	10
0	41	10
0	42	11
0	43	11
0	44	11
0	45	11
0	46	12
0	47	12
0	48	12
0	49	12
0	50	13
0	51	13
0	52	13
0	53	13
0	54	14
0	55	14
0	56	14
0	57	14
0	58	15
0	59	15
0	60	15
0	61	15
0	62	0
0	63	0
1	0	0
1	1	1
1	2	2
1	3	3
1	4	4
1	5	5
1	6	6
1	7	7
1	8	8
1	9	9
1	10	10
1	11	11
1	12	12
1	13	13
1	14	14
1	15	15
