Csi	Ch(4)	Ch(6)	Ch(8)	Ch(10)	Ch(15)	Ch(20)
0	992	492	291	1778	864	428
1	975	466	244	1812	834	385
2	855	411	227	1560	719	343
3	932	492	291	1753	847	437
4	928	484	270	1748	847	420
5	945	496	287	1774	851	441
6	890	462	261	1676	800	402
7	894	458	257	1723	825	407
8	894	449	247	1723	808	407
9	919	479	274	1783	864	428
10	885	475	274	1676	825	420
11	898	437	244	1676	791	390
12	954	496	279	1795	877	441
13	941	484	274	1693	813	411
14	885	462	270	1612	796	411
15	1039	539	313	1907	932	471
16	787	484	291	1719	928	514
17	778	445	266	1684	890	488
18	761	432	257	1633	843	467
19	778	445	261	1676	872	475
20	804	458	214	1714	877	488
21	813	467	291	1706	907	505
22	804	454	287	1680	860	475
23	765	428	266	1620	851	471
24	766	424	257	1676	847	467
25	761	432	266	1646	851	467
26	766	420	244	1650	834	445
27	766	450	291	1637	860	488
28	804	441	274	1680	881	484
29	834	471	287	1774	928	522
30	796	462	300	1757	902	505
31	804	471	279	1719	907	531
