det#    MB    CBF   CBB  CBFB   CBBB 
1       2     10     9    0      0 
2       2     12    11    0      0  
3	2      4     3    0      0
4       2      6     5    0      0
5       2      8     7    0      0
6       2      2     1    0      0
7       3      3     1    4      2
8       3      7     5    8      6
9       1     12    11    0      0
10      1      6     5    0      0
11      1      8     7    0      0
12      1     10     9    0      0
13      1      2     1    0      0
14      1      4     3    0      0
